control_id,layer,context,metric,expected,actual,difference,tolerance,status,source
STRUCT-001,datos,global,celdas_cohorte_horizonte,120,120,0,0,PASS,seguimiento_*.csv.gz
CELL-2013-3-Institucion,medidas,cohorte=2013;horizonte=3,Institucion,3942,3942,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-3-EducacionSuperior,medidas,cohorte=2013;horizonte=3,EducacionSuperior,4760,4760,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-3,invariantes,cohorte=2013;horizonte=3,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-4-Base,medidas,cohorte=2013;horizonte=4,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-4-Carrera,medidas,cohorte=2013;horizonte=4,Carrera,1086,1086,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-4-Institucion,medidas,cohorte=2013;horizonte=4,Institucion,2044,2044,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-4-EducacionSuperior,medidas,cohorte=2013;horizonte=4,EducacionSuperior,3144,3144,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-4,invariantes,cohorte=2013;horizonte=4,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-5-Base,medidas,cohorte=2013;horizonte=5,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-5-Carrera,medidas,cohorte=2013;horizonte=5,Carrera,397,397,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-5-Institucion,medidas,cohorte=2013;horizonte=5,Institucion,977,977,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-5-EducacionSuperior,medidas,cohorte=2013;horizonte=5,EducacionSuperior,2062,2062,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-5,invariantes,cohorte=2013;horizonte=5,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-6-Base,medidas,cohorte=2013;horizonte=6,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-6-Carrera,medidas,cohorte=2013;horizonte=6,Carrera,147,147,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-6-Institucion,medidas,cohorte=2013;horizonte=6,Institucion,460,460,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-6-EducacionSuperior,medidas,cohorte=2013;horizonte=6,EducacionSuperior,1482,1482,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-6,invariantes,cohorte=2013;horizonte=6,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-7-Base,medidas,cohorte=2013;horizonte=7,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-7-Carrera,medidas,cohorte=2013;horizonte=7,Carrera,61,61,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-7-Institucion,medidas,cohorte=2013;horizonte=7,Institucion,296,296,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-7-EducacionSuperior,medidas,cohorte=2013;horizonte=7,EducacionSuperior,1224,1224,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-7,invariantes,cohorte=2013;horizonte=7,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-8-Base,medidas,cohorte=2013;horizonte=8,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-8-Carrera,medidas,cohorte=2013;horizonte=8,Carrera,38,38,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-8-Institucion,medidas,cohorte=2013;horizonte=8,Institucion,204,204,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-8-EducacionSuperior,medidas,cohorte=2013;horizonte=8,EducacionSuperior,1036,1036,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-8,invariantes,cohorte=2013;horizonte=8,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-9-Base,medidas,cohorte=2013;horizonte=9,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-9-Carrera,medidas,cohorte=2013;horizonte=9,Carrera,33,33,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-9-Institucion,medidas,cohorte=2013;horizonte=9,Institucion,151,151,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-9-EducacionSuperior,medidas,cohorte=2013;horizonte=9,EducacionSuperior,1106,1106,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-9,invariantes,cohorte=2013;horizonte=9,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-10-Base,medidas,cohorte=2013;horizonte=10,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-10-Carrera,medidas,cohorte=2013;horizonte=10,Carrera,27,27,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-10-Institucion,medidas,cohorte=2013;horizonte=10,Institucion,127,127,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2013-10-EducacionSuperior,medidas,cohorte=2013;horizonte=10,EducacionSuperior,1028,1028,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2013-10,invariantes,cohorte=2013;horizonte=10,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2013-11-Base,medidas,cohorte=2013;horizonte=11,Base,8312,8312,0,0,PASS,resultados_control.csv vs seguimiento
